File,LOC,SLOC_P,SLOC_L,MVG,BLOC,C_SLOC,CLOC,CWORD,HCLOC,HCWORD,No_Methods,LCOM,AVCC,NOS,HBUG,HEFF,UWCS,INST,PACK,RFC,CBO,MI,CCML,NLOC,F_IN,DIT,MINC,S_R,R_R,COH,LMC,LCOM2,MAXCC,HVOL,HIER,NQU,FOUT,SIX,EXT,NSUP,TCC,NSUB,MPC,NCO,INTR,CCOM,HLTH,MOD,bug_cnt
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/AbstractApplication.java,76,39,29,11,13,3,24,125,0,0,4,0,2.5,22,0.3,13296.8,4,0,5,4,0,99.11,23,33,0,1,116.98,0,0,0,2,4,6,886.37,0,2,0,0,0,0,10,0,0,2,2,11,186,2,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/AbstractBuildScriptGenerator.java,558,433,335,82,56,33,69,413,10,54,30,0.07,3.1,374,5.52,317512,39,9,8,30,0,119.41,92,411,0,1,98.79,0,0.5,0.04,20,222,16,16550.3,1,12,0,0,0,1,93,0,0,18,0,62,2978,2,8
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/AbstractScriptGenerator.java,38,15,13,1,7,0,16,65,10,54,2,0,1,8,0.07,1583.64,2,0,4,2,0,146.33,6,10,0,1,125.72,0,0,0,0,2,1,210.63,0,1,0,0,0,0,2,0,0,1,2,2,55,2,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/ant/AntScript.java,317,271,219,15,33,109,13,173,10,54,31,0.02,1.52,234,2.45,62520.2,33,2,4,31,0,133.97,112,266,0,1,113.36,0,0,0.48,5,0,4,7359.21,0,0,0,0,0,0,47,0,0,31,0,110,1513,1,4
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/ant/Condition.java,61,42,32,4,9,6,10,31,0,0,5,0.06,1.8,37,0.35,9312.71,9,4,1,5,1,153.47,12,40,1,1,113.59,0,0,0.3,0,9,5,1041.01,0,0,0,0,0,0,9,0,0,5,0,8,236,1,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/ant/ConditionTask.java,33,22,19,0,4,5,7,24,0,0,2,1.33,1,17,0.16,2916.47,5,3,1,2,0,112.63,8,20,0,1,112.4,0,0,1,0,2,1,482.15,0,0,0,0,0,0,2,0,0,2,1,6,113,1,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/ant/FileSet.java,45,32,29,0,6,10,7,29,0,0,2,1.71,1,27,0.27,5131.99,9,7,1,2,0,70.38,13,30,0,1,102.6,0,0,1,0,2,1,803.49,0,0,0,0,0,0,2,0,0,2,0,11,182,1,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/ant/ITask.java,20,4,3,0,3,0,13,57,10,54,1,0,1,2,0.01,54.79,1,0,0,1,0,166.69,3,3,0,1,146.08,0,0,0,0,1,1,36.53,0,0,0,0,0,0,1,0,0,1,0,1,13,1,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/ant/JavacTask.java,89,62,49,1,14,13,13,70,10,54,11,0.08,1.09,51,0.48,12595.7,20,9,0,11,0,174.43,16,61,0,1,124.43,0,0,0.18,0,20,2,1444.73,0,0,0,0,0,0,12,0,0,11,1,14,318,1,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/BuildScriptGenerator.java,139,75,56,8,18,3,46,152,10,54,30,0.07,3.1,374,5.52,317512,39,9,8,30,2,119.41,92,411,2,1,98.79,4,0.17,0.04,20,222,16,16550.3,1,12,0,0,0,1,93,4,0,18,0,62,2978,2,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/BuildScriptGeneratorApplication.java,55,23,18,1,10,1,22,60,0,0,3,0,1.33,14,0.15,2664.91,4,1,3,3,0,93.03,19,19,0,1,125.26,0,0.5,1,0,0,2,451.59,2,0,0,0,0,1,4,0,0,3,0,8,103,1,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/FeatureBuildScriptGenerator.java,444,351,300,24,24,51,69,371,10,55,27,0.03,1.85,301,4.66,154918,36,9,10,27,0,102.65,110,340,0,1,102.41,0,0.5,0.14,23,241,6,13965.9,5,3,0,0,0,1,50,0,0,24,0,74,2589,1,10
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/FetchScriptGenerator.java,325,198,153,20,43,22,84,281,0,0,19,0.03,2.16,140,2.03,82397,28,9,8,20,0,92.78,102,189,0,1,110.66,0,0.5,0.14,12,100,6,6076.51,1,3,0,0,1,1,41,0,1,16,0,50,1147,1,3
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/FetchScriptGeneratorApplication.java,134,61,46,5,19,5,54,141,10,54,9,0.19,1.56,46,0.49,12566.3,15,6,2,9,0,102.19,49,58,0,1,120.06,0,0.5,0.33,0,19,4,1477.84,2,0,0,0,0,1,14,0,0,9,0,21,316,1,1
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/FragmentBuildScriptGenerator.java,23,11,8,2,5,1,7,21,0,0,2,0,1,5,0.03,349.92,2,0,2,2,0,181.99,4,8,0,1,142.11,0,0.5,0,0,2,1,104.23,1,2,0,0,0,1,2,0,0,0,0,2,31,1,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/IPDEBuildConstants.java,60,38,37,0,10,21,12,59,0,0,0,0,0,36,0.67,10249.2,35,35,0,0,0,171,33,37,0,1,171,0,0,0,0,0,0,2016.7,0,0,0,0,0,0,0,0,0,0,0,28,319,1,1
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/IXMLConstants.java,94,71,70,0,6,68,17,141,10,54,0,0,0,69,1.47,23268.5,68,68,0,0,0,171,75,70,0,1,171,0,0,0,0,0,0,4410.48,0,0,0,0,0,0,0,0,0,0,0,73,616,1,5
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/ModelBuildScriptGenerator.java,314,247,217,15,30,31,37,198,10,55,17,0,1.94,218,3.52,145696,22,5,8,17,0,120.24,58,238,0,1,99.62,0,0.5,0.2,15,35,4,10571.7,6,2,0,0,0,1,33,0,0,15,0,42,1880,2,12
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/PluginBuildScriptGenerator.java,23,11,8,2,5,1,7,21,0,0,2,0,1,5,0.03,349.92,2,0,2,2,0,181.99,4,8,0,1,142.11,0,0.5,0,0,2,1,104.23,1,2,0,0,0,1,2,0,0,0,0,2,31,1,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/Policy.java,81,49,35,22,5,3,27,172,10,54,7,0.42,2.14,28,0.35,10309.2,9,2,3,9,0,163.3,20,45,0,1,123.42,0,0,0.14,1,12,4,1040.17,0,4,0,0,2,0,15,0,2,3,0,9,247,1,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/Utils.java,284,208,150,62,13,6,63,337,10,54,15,0,4,179,2.65,172767,15,0,8,15,0,120.47,59,199,0,1,99.85,0,0,0,6,15,10,7960.06,0,11,0,0,0,0,60,0,0,4,1,31,1506,2,2
org.eclipse.pde.build/src_ant/org/eclipse/pde/internal/build/tasks/BuildManifestTask.java,221,169,131,17,20,15,32,128,0,0,19,0.01,1.89,125,1.53,46975,29,10,9,19,0,154.99,43,159,0,1,115.11,0,0.5,0.11,9,207,4,4575.27,0,4,0,0,0,1,36,0,0,15,2,24,914,1,1
org.eclipse.pde.build/src_ant/org/eclipse/pde/internal/build/tasks/BuildScriptGeneratorTask.java,125,52,39,0,33,0,40,77,0,0,11,0.02,1.09,30,0.25,3472.16,16,5,7,12,0,160.69,36,44,0,1,140.07,0,0.5,0.18,1,5,2,745.72,0,0,0,0,1,1,12,0,1,11,2,12,202,1,0
org.eclipse.pde.build/src_ant/org/eclipse/pde/internal/build/tasks/FetchTask.java,78,36,26,0,11,0,31,60,0,0,8,0,1.12,20,0.15,1866.76,9,1,4,8,0,161.71,27,31,0,1,141.1,0,0.5,1,0,0,2,457.36,0,0,0,0,0,1,9,0,0,8,1,9,130,1,0
org.eclipse.pde/src/org/eclipse/pde/internal/BaseProject.java,101,76,52,13,16,0,9,33,0,0,8,0.86,2,58,0.64,29680.2,9,1,2,8,0,111.21,5,73,0,1,111.21,0,0.5,0.25,3,14,4,1930.16,0,0,0,0,0,1,16,0,0,8,1,4,393,2,0
org.eclipse.pde/src/org/eclipse/pde/internal/builders/DependencyLoop.java,29,21,15,3,8,0,0,0,0,0,5,0,1,13,0.07,739.03,7,2,1,5,0,142.69,0,19,0,1,142.69,0,0,0.5,0,10,1,218.37,0,3,0,0,0,0,5,0,0,2,0,0,66,1,0
org.eclipse.pde/src/org/eclipse/pde/internal/builders/DependencyLoopFinder.java,94,67,51,15,12,0,15,79,0,0,6,1,2.83,55,0.8,54080.1,7,1,4,6,0,154.02,11,62,0,1,104.02,0,0,0.17,3,10,11,2391.37,0,0,0,0,0,0,17,0,0,6,0,11,446,1,0
org.eclipse.pde/src/org/eclipse/pde/internal/builders/ExtensionPointSchemaBuilder.java,209,180,126,33,19,0,10,59,0,0,12,0.11,2.58,99,1.44,49119.7,17,5,6,12,0,108.65,3,147,0,1,108.65,0,0.5,0.1,6,58,6,4327.34,2,3,0,0,0,1,31,0,0,9,0,3,813,1,0
org.eclipse.pde/src/org/eclipse/pde/internal/builders/FeatureConsistencyChecker.java,146,129,95,23,9,0,8,38,0,0,6,0.2,3.5,65,0.85,27564.1,9,3,11,6,0,104.57,1,90,0,1,104.57,0,0.5,0.17,3,14,7,2564.76,1,0,0,0,0,1,21,0,0,6,0,1,488,1,0
org.eclipse.pde/src/org/eclipse/pde/internal/builders/ISchemaTransformer.java,12,5,4,0,3,0,4,12,0,0,1,0,1,2,0.02,69.08,1,0,1,1,0,145.29,0,3,0,1,145.29,0,0,0,0,1,1,46.05,0,0,0,0,0,0,1,0,0,1,0,0,15,1,0
org.eclipse.pde/src/org/eclipse/pde/internal/builders/ManifestConsistencyChecker.java,180,152,111,22,13,0,15,56,0,0,11,0.18,2.18,84,1.09,30425.5,15,4,9,11,0,112.19,8,120,0,1,112.19,0,0.5,0.09,6,38,5,3267.47,2,0,0,0,0,1,24,0,0,11,0,6,647,1,0
org.eclipse.pde/src/org/eclipse/pde/internal/builders/ManifestParser.java,45,35,29,1,6,0,4,12,0,0,2,0.5,3.5,17,0.17,4596.69,4,2,6,2,0,110.55,0,28,0,1,110.55,0,0,0.75,0,0,6,510.81,0,0,0,0,0,0,7,0,0,2,0,0,114,1,0
org.eclipse.pde/src/org/eclipse/pde/internal/builders/PluginErrorReporter.java,82,68,47,3,10,0,4,12,0,0,13,0.21,1.23,40,0.4,6214.77,15,2,4,13,0,132.05,0,63,0,1,132.05,0,0,0.31,4,54,3,1212.15,0,0,0,0,0,0,16,0,0,13,1,0,294,1,0
org.eclipse.pde/src/org/eclipse/pde/internal/builders/SchemaTransformer.java,343,314,221,64,14,0,15,62,0,0,1,0,1,2,0.02,69.08,1,0,1,1,1,145.29,0,3,1,1,145.29,0,0,0,0,1,1,46.05,0,0,0,0,0,0,1,0,0,1,0,0,15,1,0
org.eclipse.pde/src/org/eclipse/pde/internal/FeatureProject.java,21,13,9,0,4,0,4,12,0,0,3,0,1,7,0.04,346.84,3,0,1,3,0,143.53,0,11,0,1,143.53,0,0.5,0,0,3,1,126.81,2,0,0,0,0,1,3,0,0,3,0,0,39,1,0
org.eclipse.pde/src/org/eclipse/pde/internal/PDE.java,134,110,75,18,16,0,8,34,0,0,15,0.09,1.67,64,0.84,21550.3,23,8,4,15,1,123.56,8,105,1,1,123.56,0,0.5,0.04,4,59,5,2507.78,0,6,0,0,0,1,25,0,0,9,0,5,559,1,0
org.eclipse.pde/src/org/eclipse/pde/internal/PluginProject.java,28,15,11,0,4,0,9,20,0,0,3,0,1,9,0.06,609.59,3,0,1,3,0,185.03,5,13,0,1,135.03,0,0.5,0,0,3,1,174.22,2,0,0,0,0,1,3,0,0,3,0,2,51,1,0
ui/org.eclipse.pde.core/src/org/eclipse/pde/core/build/IBuild.java,75,9,8,0,1,0,65,472,0,0,4,0,1,5,0.03,141.11,4,0,2,4,0,148.46,61,6,0,1,158.81,0,0.5,0,0,4,1,93.21,0,0,0,0,0,1,4,0,0,4,0,5,34,1,0
ui/org.eclipse.pde.core/src/org/eclipse/pde/core/build/IBuildEntry.java,134,15,14,0,3,0,116,917,0,0,8,2,1,11,0.08,641.04,10,2,2,8,0,135.87,112,12,0,1,156.01,0,0.5,0,0,8,1,240.58,0,2,0,0,0,1,8,0,0,6,0,10,77,1,0
ui/org.eclipse.pde.core/src/org/eclipse/pde/core/build/IBuildModel.java,65,8,7,0,1,0,56,415,0,0,3,0,1,4,0.02,78.33,3,0,2,3,0,168.97,52,5,0,2,159.84,0,0.67,0,0,3,1,50.07,0,1,0,0,0,2,3,0,0,2,0,4,21,1,0
ui/org.eclipse.pde.core/src/org/eclipse/pde/core/build/IBuildModelFactory.java,31,4,3,0,1,0,26,181,0,0,1,0,1,2,0.01,30.51,1,0,0,1,0,197.57,26,3,0,1,148.08,0,0,0,0,1,1,25.51,0,0,0,0,0,0,1,0,0,1,0,3,11,1,0
ui/org.eclipse.pde.core/src/org/eclipse/pde/core/IEditable.java,85,8,7,0,1,0,76,611,0,0,4,0,1,5,0.02,91.82,4,0,1,4,0,178.42,72,6,0,1,160.28,0,0,0,0,4,1,66.38,0,0,0,0,0,0,4,0,0,4,0,5,27,1,0
ui/org.eclipse.pde.core/src/org/eclipse/pde/core/IIdentifiable.java,56,7,6,0,1,0,48,365,0,0,2,1,1,4,0.03,210.82,3,1,1,2,0,187.78,44,5,0,1,143.84,0,0,0,0,2,1,80.58,0,1,0,0,0,0,2,0,0,1,0,4,26,1,0
